"ITE001001"	"BC-H-001001"
"ITE001865"	"ABC001865"
"ITE001866"	"ABC001866"
"ITE001867"	"ABC001867"
"ITE001868"	"ABC001868"
"ITE001869"	"ABC001869"
"ITE001870"	"ABC001870"
"ITE001871"	"ABC001871"
"ITE001872"	"ABC001872"
"ITE001873"	"ABC001873"
"ITE001874"	"ABC001874"
"ITE001875"	"ABC001875"
"ITE001876"	"ABC001876"
"ITE001877"	"ABC001877"
"ITE001878"	"ABC001878"
"ITE001879"	"ABC001879"
"ITE001880"	"ABC001880"
"ITE001881"	"ABC001881"
"ITE001882"	"ABC001882"
"ITE001883"	"ABC001883"
"ITE001884"	"ABC001884"
"ITE001885"	"ABC001885"
"ITE001886"	"ABC001886"
"ITE001887"	"BC-H-001887"
"ITE001888"	"ABC001888"
"ITE001889"	"ABC001889"
"ITE001890"	"ABC001890"
"ITE001891"	"ABC001891"
"ITE001892"	"ABC001892"
"ITE001893"	"BC-H-001893"
"ITE001894"	"ABC001894"
"ITE001895"	"ABC001895"
"ITE001896"	"ABC001896"
"ITE001897"	"ABC001897"
"ITE001898"	"ABC001898"
"ITE001899"	"ABC001899"
"ITE001900"	"ABC001900"
"ITE001901"	"ABC001901"
"ITE001902"	"ABC001902"
"ITE001903"	"ABC001903"
"ITE001904"	"ABC001904"
"ITE001905"	"ABC001905"
"ITE001906"	"ABC001906"
"ITE001907"	"ABC001907"
"ITE001908"	"ABC001908"
"ITE001909"	"ABC001909"
"ITE001910"	"ABC001910"
"ITE001911"	"ABC001911"
"ITE001912"	"ABC001912"
"ITE001913"	"ABC001913"
"ITE001914"	"ABC001914"
"ITE001915"	"ABC001915"
"ITE001916"	"ABC001916"
"ITE001917"	"ABC001917"
"ITE001918"	"ABC001918"
"ITE001919"	"ABC001919"
"ITE001920"	"ABC001920"
"ITE001921"	"ABC001921"
"ITE001922"	"ABC001922"
"ITE001923"	"ABC001923"
"ITE001924"	"ABC001924"
"ITE001925"	"ABC001925"
"ITE001926"	"ABC001926"
"ITE001927"	"ABC001927"
"ITE001928"	"ABC001928"
"ITE001929"	"ABC001929"
"ITE001930"	"ABC001930"
"ITE001931"	"ABC001931"
"ITE001932"	"ABC001932"
"ITE001933"	"ABC001933"
"ITE001934"	"ABC001934"
"ITE001935"	"ABC001935"
"ITE001936"	"ABC001936"
"ITE001937"	"ABC001937"
"ITE001938"	"ABC001938"
"ITE001939"	"ABC001939"
"ITE001940"	"BC-H-001940"
"ITE001941"	"ABC001941"
"ITE001942"	"ABC001942"
"ITE001943"	"ABC001943"
"ITE001944"	"ABC001944"
"ITE001945"	"ABC001945"
"ITE001946"	"ABC001946"
"ITE001947"	"ABC001947"
"ITE001948"	"ABC001948"
"ITE001949"	"BC-H-001949"
"ITE001950"	"ABC001950"
"ITE001951"	"ABC001951"
"ITE001952"	"ABC001952"
"ITE001953"	"ABC001953"
"ITE001954"	"ABC001954"
"ITE001955"	"ABC001955"
"ITE001956"	"BC-H-001956"
"ITE001957"	"ABC001957"
"ITE001958"	"ABC001958"
"ITE001959"	"ABC001959"
"ITE001960"	"ABC001960"
"ITE001961"	"ABC001961"
"ITE001962"	"ABC001962"
"ITE001963"	"ABC001963"
"ITE001964"	"ABC001964"
"ITE001965"	"ABC001965"
"ITE001966"	"ABC001966"
"ITE001967"	"BC-H-001967"
"ITE001968"	"ABC001968"
"ITE001969"	"ABC001969"
"ITE001970"	"ABC001970"
"ITE001971"	"ABC001971"
"ITE001972"	"ABC001972"
"ITE001973"	"ABC001973"
"ITE001974"	"ABC001974"
"ITE001975"	"ABC001975"
"ITE001976"	"BC-H-001976"
"ITE001977"	"ABC001977"
"ITE001978"	"ABC001978"
"ITE001979"	"ABC001979"
"ITE001980"	"ABC001980"
"ITE001981"	"ABC001981"
"ITE001982"	"ABC001982"
"ITE001983"	"ABC001983"
"ITE001984"	"ABC001984"
"ITE001985"	"ABC001985"
"ITE001986"	"ABC001986"
"ITE001987"	"ABC001987"
"ITE001988"	"BC-H-001988"
"ITE001989"	"ABC001989"
"ITE001990"	"ABC001990"
"ITE001991"	"ABC001991"
"ITE001992"	"ABC001992"
"ITE001993"	"ABC001993"
"ITE001994"	"ABC001994"
"ITE001995"	"ABC001995"
"ITE001996"	"ABC001996"
"ITE001997"	"ABC001997"
"ITE001998"	"ABC001998"
"ITE001999"	"ABC001999"
"ITE002000"	"ABC002000"
"ITE002001"	"ABC002001"
"ITE002002"	"ABC002002"
"ITE002003"	"ABC002003"
"ITE002004"	"ABC002004"
"ITE002005"	"ABC002005"
"ITE002006"	"ABC002006"
"ITE002007"	"ABC002007"
"ITE002008"	"ABC002008"
"ITE002009"	"ABC002009"
"ITE002010"	"ABC002010"
"ITE002011"	"ABC002011"
"ITE002012"	"ABC002012"
"ITE002013"	"ABC002013"
"ITE002014"	"ABC002014"
"ITE002015"	"ABC002015"
"ITE002016"	"BC-H-002016"
"ITE002017"	"ABC002017"
"ITE002018"	"ABC002018"
"ITE002019"	"ABC002019"
"ITE002020"	"ABC002020"
"ITE002021"	"ABC002021"
"ITE002022"	"ABC002022"
"ITE002023"	"ABC002023"
"ITE002024"	"ABC002024"
"ITE002025"	"ABC002025"
"ITE002026"	"ABC002026"
"ITE002027"	"ABC002027"
"ITE002028"	"ABC002028"
"ITE002029"	"ABC002029"
"ITE002030"	"ABC002030"
"ITE002031"	"ABC002031"
"ITE002032"	"BC-H-002032"
"ITE002033"	"ABC002033"
"ITE002034"	"BC-H-002034"
"ITE002035"	"ABC002035"
"ITE002036"	"ABC002036"
"ITE002037"	"ABC002037"
"ITE002038"	"ABC002038"
"ITE002039"	"ABC002039"
"ITE002040"	"ABC002040"
"ITE002041"	"ABC002041"
"ITE002042"	"ABC002042"
"ITE002043"	"ABC002043"
"ITE002044"	"ABC002044"
"ITE002045"	"ABC002045"
"ITE002046"	"ABC002046"
"ITE002047"	"ABC002047"
"ITE002048"	"ABC002048"
"ITE002049"	"BC-H-002049"
"ITE002050"	"ABC002050"
"ITE002051"	"ABC002051"
"ITE002052"	"ABC002052"
"ITE002053"	"ABC002053"
"ITE002054"	"ABC002054"
"ITE002055"	"ABC002055"
"ITE002056"	"BC-H-002056"
"ITE002057"	"BC-H-002057"
"ITE002058"	"ABC002058"
"ITE002059"	"ABC002059"
"ITE002060"	"ABC002060"
"ITE002061"	"ABC002061"
"ITE002062"	"ABC002062"
"ITE002063"	"ABC002063"
"ITE002064"	"ABC002064"
"ITE002065"	"ABC002065"
"ITE002066"	"ABC002066"
"ITE002067"	"ABC002067"
"ITE002068"	"ABC002068"
"ITE002069"	"ABC002069"
"ITE002070"	"ABC002070"
"ITE002071"	"ABC002071"
"ITE002072"	"ABC002072"
"ITE002073"	"ABC002073"
"ITE002074"	"ABC002074"
"ITE002075"	"ABC002075"
"ITE002076"	"ABC002076"
"ITE002077"	"ABC002077"
"ITE002078"	"ABC002078"
"ITE002079"	"ABC002079"
"ITE002080"	"ABC002080"
"ITE002081"	"ABC002081"
"ITE002082"	"ABC002082"
"ITE002083"	"ABC002083"
"ITE002084"	"ABC002084"
"ITE002085"	"ABC002085"
"ITE002086"	"ABC002086"
"ITE002087"	"ABC002087"
"ITE002088"	"ABC002088"
"ITE002089"	"ABC002089"
"ITE002090"	"BC-H-002090"
"ITE002091"	"ABC002091"
"ITE002092"	"ABC002092"
"ITE002093"	"ABC002093"
"ITE002094"	"ABC002094"
"ITE002095"	"ABC002095"
"ITE002096"	"ABC002096"
"ITE002097"	"ABC002097"
"ITE002098"	"ABC002098"
"ITE002099"	"ABC002099"
"ITE002100"	"ABC002100"
"ITE002101"	"ABC002101"
"ITE002102"	"ABC002102"
"ITE002103"	"ABC002103"
"ITE002104"	"ABC002104"
"ITE002105"	"ABC002105"
"ITE002106"	"ABC002106"
"ITE002107"	"ABC002107"
"ITE002108"	"ABC002108"
"ITE002109"	"ABC002109"
"ITE002110"	"ABC002110"
"ITE002111"	"ABC002111"
"ITE002112"	"ABC002112"
"ITE002113"	"ABC002113"
"ITE002114"	"ABC002114"
"ITE002115"	"ABC002115"
"ITE002116"	"ABC002116"
"ITE002117"	"ABC002117"
"ITE002118"	"ABC002118"
"ITE002119"	"ABC002119"
"ITE002120"	"ABC002120"
"ITE002121"	"ABC002121"
"ITE002122"	"ABC002122"
"ITE002123"	"ABC002123"
"ITE002124"	"ABC002124"
"ITE002125"	"ABC002125"
"ITE002126"	"ABC002126"
"ITE002127"	"ABC002127"
"ITE002128"	"BC-H-002128"
"ITE002129"	"ABC002129"
"ITE002130"	"ABC002130"
"ITE002131"	"ABC002131"
"ITE002132"	"ABC002132"
"ITE002133"	"ABC002133"
"ITE002134"	"BC-H-002134"
"ITE002135"	"ABC002135"
"ITE002136"	"ABC002136"
"ITE002137"	"ABC002137"
"ITE002138"	"ABC002138"
"ITE002139"	"ABC002139"
"ITE002140"	"ABC002140"
"ITE002141"	"ABC002141"
"ITE002142"	"ABC002142"
"ITE002143"	"BC-H-002143"
"ITE002144"	"ABC002144"
"ITE002145"	"ABC002145"
"ITE002146"	"ABC002146"
"ITE002147"	"ABC002147"
"ITE002148"	"ABC002148"
"ITE002149"	"ABC002149"
"ITE002150"	"ABC002150"
"ITE002151"	"ABC002151"
"ITE002152"	"ABC002152"
"ITE002153"	"ABC002153"
"ITE002154"	"ABC002154"
"ITE002155"	"ABC002155"
"ITE002156"	"ABC002156"
"ITE002157"	"ABC002157"
"ITE002158"	"ABC002158"
"ITE002159"	"ABC002159"
"ITE002160"	"BC-H-002160"
"ITE002161"	"ABC002161"
"ITE002162"	"ABC002162"
"ITE002163"	"BC-H-002163"
"ITE002164"	"ABC002164"
"ITE002165"	"ABC002165"
"ITE002166"	"ABC002166"
"ITE002167"	"ABC002167"
"ITE002168"	"ABC002168"
"ITE002169"	"ABC002169"
"ITE002170"	"ABC002170"
"ITE002171"	"ABC002171"
"ITE002172"	"ABC002172"
"ITE002173"	"ABC002173"
"ITE002174"	"ABC002174"
"ITE002175"	"ABC002175"
"ITE002176"	"ABC002176"
"ITE002177"	"BC-H-002177"
"ITE002178"	"ABC002178"
"ITE002179"	"ABC002179"
"ITE002180"	"ABC002180"
"ITE002181"	"BC-H-002181"
"ITE002182"	"ABC002182"
"ITE002183"	"ABC002183"
"ITE002184"	"ABC002184"
"ITE002185"	"ABC002185"
"ITE002186"	"ABC002186"
"ITE002187"	"ABC002187"
"ITE002188"	"ABC002188"
"ITE002189"	"ABC002189"
"ITE002190"	"ABC002190"
"ITE002191"	"BC-H-002191"
"ITE002192"	"ABC002192"
"ITE002193"	"BC-H-002193"
"ITE002194"	"ABC002194"
"ITE002195"	"ABC002195"
"ITE002196"	"ABC002196"
"ITE002197"	"ABC002197"
"ITE002198"	"ABC002198"
"ITE002199"	"ABC002199"
"ITE002200"	"BC-H-002200"
"ITE002201"	"ABC002201"
"ITE002202"	"ABC002202"
"ITE002203"	"ABC002203"
"ITE002204"	"ABC002204"
"ITE002205"	"ABC002205"
"ITE002206"	"ABC002206"
"ITE002207"	"ABC002207"
"ITE002208"	"ABC002208"
"ITE002209"	"ABC002209"
"ITE002210"	"ABC002210"
"ITE002211"	"ABC002211"
"ITE002212"	"ABC002212"
"ITE002213"	"ABC002213"
"ITE002214"	"ABC002214"
"ITE002215"	"BC-H-002215"
"ITE002216"	"BC-H-002216"
"ITE002217"	"ABC002217"
"ITE002218"	"ABC002218"
"ITE002219"	"ABC002219"
"ITE002220"	"ABC002220"
"ITE002221"	"ABC002221"
"ITE002222"	"ABC002222"
"ITE002223"	"ABC002223"
"ITE002224"	"ABC002224"
"ITE002225"	"BC-H-002225"
"ITE002226"	"ABC002226"
"ITE002227"	"ABC002227"
"ITE002228"	"BC-H-002228"
"ITE002229"	"BC-H-002229"
"ITE002230"	"ABC002230"
"ITE002231"	"ABC002231"
"ITE002232"	"ABC002232"
"ITE002233"	"ABC002233"
"ITE002234"	"ABC002234"
"ITE002235"	"ABC002235"
"ITE002236"	"ABC002236"
"ITE002237"	"ABC002237"
"ITE002238"	"ABC002238"
"ITE002239"	"ABC002239"
"ITE002240"	"ABC002240"
"ITE002241"	"ABC002241"
"ITE002242"	"ABC002242"
"ITE002243"	"ABC002243"
"ITE002244"	"ABC002244"
"ITE002245"	"ABC002245"
"ITE002246"	"ABC002246"
"ITE002247"	"ABC002247"
"ITE002248"	"BC-H-002248"
"ITE002249"	"ABC002249"
"ITE002250"	"ABC002250"
"ITE002251"	"ABC002251"
"ITE002252"	"ABC002252"
"ITE002253"	"ABC002253"
"ITE002254"	"ABC002254"
"ITE002255"	"ABC002255"
"ITE002256"	"ABC002256"
"ITE002257"	"ABC002257"
"ITE002258"	"ABC002258"
"ITE002259"	"ABC002259"
"ITE002260"	"ABC002260"
"ITE002261"	"ABC002261"
"ITE002262"	"ABC002262"
"ITE002263"	"BC-H-002263"
"ITE002264"	"ABC002264"
"ITE002265"	"ABC002265"
"ITE002266"	"ABC002266"
"ITE002267"	"ABC002267"
"ITE002268"	"ABC002268"
"ITE002269"	"ABC002269"
"ITE002270"	"ABC002270"
"ITE002271"	"ABC002271"
"ITE002272"	"ABC002272"
"ITE002273"	"ABC002273"
"ITE002274"	"ABC002274"
"ITE002275"	"ABC002275"
"ITE002276"	"ABC002276"
"ITE002277"	"ABC002277"
"ITE002278"	"ABC002278"
"ITE002279"	"BC-H-002279"
"ITE002280"	"ABC002280"
"ITE002281"	"ABC002281"
"ITE002282"	"ABC002282"
"ITE002283"	"ABC002283"
"ITE002284"	"ABC002284"
"ITE002285"	"ABC002285"
"ITE002286"	"ABC002286"
"ITE002287"	"ABC002287"
"ITE002288"	"ABC002288"
"ITE002289"	"ABC002289"
"ITE002290"	"ABC002290"
"ITE002291"	"ABC002291"
"ITE002292"	"ABC002292"
"ITE002293"	"ABC002293"
"ITE002294"	"ABC002294"
"ITE002295"	"ABC002295"
"ITE002296"	"ABC002296"
"ITE002297"	"ABC002297"
"ITE002298"	"ABC002298"
"ITE002299"	"BC-H-002299"
"ITE002300"	"ABC002300"
"ITE002301"	"ABC002301"
"ITE002302"	"ABC002302"
"ITE002303"	"ABC002303"
"ITE002304"	"ABC002304"
"ITE002305"	"ABC002305"
"ITE002306"	"ABC002306"
"ITE002307"	"ABC002307"
"ITE002308"	"ABC002308"
"ITE002309"	"ABC002309"
"ITE002310"	"ABC002310"
"ITE002311"	"ABC002311"
"ITE002312"	"ABC002312"
"ITE002313"	"ABC002313"
"ITE002314"	"BC-H-002314"
"ITE002315"	"ABC002315"
"ITE002316"	"ABC002316"
"ITE002317"	"ABC002317"
"ITE002318"	"ABC002318"
"ITE002319"	"ABC002319"
"ITE002320"	"ABC002320"
"ITE002321"	"ABC002321"
"ITE002322"	"ABC002322"
"ITE002323"	"ABC002323"
"ITE002324"	"ABC002324"
"ITE002325"	"ABC002325"
"ITE002326"	"ABC002326"
"ITE002327"	"ABC002327"
"ITE002328"	"ABC002328"
"ITE002329"	"ABC002329"
"ITE002330"	"ABC002330"
"ITE002331"	"ABC002331"
"ITE002332"	"ABC002332"
"ITE002333"	"ABC002333"
"ITE002334"	"ABC002334"
"ITE002335"	"ABC002335"
"ITE002336"	"ABC002336"
"ITE002337"	"ABC002337"
"ITE002338"	"ABC002338"
"ITE002339"	"ABC002339"
"ITE002340"	"ABC002340"
"ITE002341"	"ABC002341"
"ITE002342"	"ABC002342"
"ITE002343"	"ABC002343"
"ITE002344"	"BC-H-002344"
"ITE002345"	"ABC002345"
"ITE002346"	"ABC002346"
"ITE002347"	"ABC002347"
"ITE002348"	"ABC002348"
"ITE002349"	"ABC002349"
"ITE002350"	"ABC002350"
"ITE002351"	"ABC002351"
"ITE002352"	"ABC002352"
"ITE002353"	"ABC002353"
"ITE002354"	"ABC002354"
"ITE002355"	"ABC002355"
"ITE002356"	"ABC002356"
"ITE002357"	"BC-H-002357"
"ITE002358"	"BC-H-002358"
"ITE002359"	"ABC002359"
"ITE002360"	"ABC002360"
"ITE002361"	"BC-H-002361"
"ITE002362"	"ABC002362"
"ITE002363"	"ABC002363"
"ITE002364"	"ABC002364"
"ITE002365"	"ABC002365"
"ITE002366"	"ABC002366"
"ITE002367"	"ABC002367"
"ITE002368"	"ABC002368"
"ITE002369"	"ABC002369"
"ITE002370"	"ABC002370"
"ITE002371"	"ABC002371"
"ITE002372"	"ABC002372"
"ITE002373"	"BC-H-002373"
"ITE002374"	"ABC002374"
"ITE002375"	"ABC002375"
"ITE002376"	"ABC002376"
"ITE002377"	"ABC002377"
"ITE002378"	"ABC002378"
"ITE002379"	"ABC002379"
"ITE002380"	"ABC002380"
"ITE002381"	"ABC002381"
"ITE002382"	"ABC002382"
"ITE002383"	"ABC002383"
"ITE002384"	"ABC002384"
"ITE002385"	"ABC002385"
"ITE002386"	"ABC002386"
"ITE002387"	"ABC002387"
"ITE002388"	"ABC002388"
"ITE002389"	"ABC002389"
"ITE002390"	"ABC002390"
"ITE002391"	"ABC002391"
"ITE002392"	"ABC002392"
"ITE002393"	"ABC002393"
"ITE002394"	"BC-H-002394"
"ITE002395"	"ABC002395"
"ITE002396"	"ABC002396"
"ITE002397"	"ABC002397"
"ITE002398"	"ABC002398"
"ITE002399"	"ABC002399"
"ITE002400"	"ABC002400"
"ITE002401"	"ABC002401"
"ITE002402"	"ABC002402"
"ITE002403"	"ABC002403"
"ITE002404"	"BC-H-002404"
"ITE002405"	"ABC002405"
"ITE002406"	"ABC002406"
"ITE002407"	"ABC002407"
"ITE002408"	"ABC002408"
"ITE002409"	"BC-H-002409"
"ITE002410"	"ABC002410"
"ITE002411"	"ABC002411"
"ITE002412"	"ABC002412"
"ITE002413"	"ABC002413"
"ITE002414"	"ABC002414"
"ITE002415"	"ABC002415"
"ITE002416"	"ABC002416"
"ITE002417"	"ABC002417"
"ITE002418"	"ABC002418"
"ITE002419"	"BC-H-002419"
"ITE002420"	"ABC002420"
"ITE002421"	"ABC002421"
"ITE002422"	"ABC002422"
"ITE002423"	"ABC002423"
"ITE002424"	"ABC002424"
"ITE002425"	"ABC002425"
"ITE002426"	"ABC002426"
"ITE002427"	"ABC002427"
"ITE002428"	"ABC002428"
"ITE002429"	"BC-H-002429"
"ITE002430"	"ABC002430"
"ITE002431"	"ABC002431"
"ITE002432"	"ABC002432"
"ITE002433"	"ABC002433"
"ITE002434"	"ABC002434"
"ITE002435"	"ABC002435"
"ITE002436"	"ABC002436"
"ITE002437"	"ABC002437"
"ITE002438"	"ABC002438"
"ITE002439"	"ABC002439"
"ITE002440"	"ABC002440"
"ITE002441"	"BC-H-002441"
"ITE002442"	"ABC002442"
"ITE002443"	"ABC002443"
"ITE002444"	"ABC002444"
"ITE002445"	"ABC002445"
"ITE002446"	"ABC002446"
"ITE002447"	"ABC002447"
"ITE002448"	"ABC002448"
"ITE002449"	"BC-H-002449"
"ITE002450"	"ABC002450"
"ITE002451"	"ABC002451"
"ITE002452"	"ABC002452"
"ITE002453"	"ABC002453"
"ITE002454"	"ABC002454"
"ITE002455"	"ABC002455"
"ITE002456"	"ABC002456"
"ITE002457"	"ABC002457"
"ITE002458"	"ABC002458"
"ITE002459"	"ABC002459"
"ITE002460"	"ABC002460"
"ITE002461"	"ABC002461"
"ITE002462"	"ABC002462"
"ITE002463"	"ABC002463"
"ITE002464"	"ABC002464"
"ITE002465"	"ABC002465"
"ITE002466"	"ABC002466"
"ITE002467"	"ABC002467"
"ITE002468"	"ABC002468"
"ITE002469"	"ABC002469"
"ITE002470"	"ABC002470"
"ITE002471"	"ABC002471"
"ITE002472"	"ABC002472"
"ITE002473"	"ABC002473"
"ITE002474"	"ABC002474"
"ITE002475"	"ABC002475"
"ITE002476"	"ABC002476"
"ITE002477"	"ABC002477"
"ITE002478"	"ABC002478"
"ITE002479"	"ABC002479"
"ITE002480"	"ABC002480"
"ITE002481"	"ABC002481"
"ITE002482"	"BC-H-002482"
"ITE002483"	"ABC002483"
"ITE002484"	"ABC002484"
"ITE002485"	"ABC002485"
"ITE002486"	"BC-H-002486"
"ITE002487"	"ABC002487"
"ITE002488"	"ABC002488"
"ITE002489"	"ABC002489"
"ITE002490"	"ABC002490"
"ITE002491"	"ABC002491"
"ITE002492"	"ABC002492"
"ITE002493"	"ABC002493"
"ITE002494"	"ABC002494"
"ITE002495"	"ABC002495"
"ITE002496"	"ABC002496"
"ITE002497"	"ABC002497"
"ITE002498"	"ABC002498"
"ITE002499"	"ABC002499"
"ITE002500"	"ABC002500"
"ITE002501"	"ABC002501"
"ITE002502"	"ABC002502"
"ITE002503"	"BC-H-002503"
"ITE002504"	"ABC002504"
"ITE002505"	"ABC002505"
"ITE002506"	"ABC002506"
"ITE002507"	"ABC002507"
"ITE002508"	"ABC002508"
"ITE002509"	"ABC002509"
"ITE002510"	"ABC002510"
"ITE002511"	"ABC002511"
"ITE002512"	"ABC002512"
"ITE002513"	"ABC002513"
"ITE002514"	"ABC002514"
"ITE002515"	"ABC002515"
"ITE002516"	"ABC002516"
"ITE002517"	"ABC002517"
"ITE002518"	"ABC002518"
"ITE002519"	"ABC002519"
"ITE002520"	"ABC002520"
"ITE002521"	"ABC002521"
"ITE002522"	"ABC002522"
"ITE002523"	"ABC002523"
"ITE002524"	"ABC002524"
"ITE002525"	"ABC002525"
"ITE002526"	"ABC002526"
"ITE002527"	"ABC002527"
"ITE002528"	"ABC002528"
"ITE002529"	"ABC002529"
"ITE002530"	"ABC002530"
"ITE002531"	"ABC002531"
"ITE002532"	"ABC002532"
"ITE002533"	"ABC002533"
"ITE002534"	"ABC002534"
"ITE002535"	"ABC002535"
"ITE002536"	"ABC002536"
"ITE002537"	"ABC002537"
"ITE002538"	"ABC002538"
"ITE002539"	"ABC002539"
"ITE002540"	"ABC002540"
"ITE002541"	"ABC002541"
"ITE002542"	"ABC002542"
"ITE002543"	"ABC002543"
"ITE002544"	"ABC002544"
"ITE002545"	"ABC002545"
"ITE002546"	"ABC002546"
"ITE002547"	"ABC002547"
"ITE002548"	"ABC002548"
"ITE002549"	"ABC002549"
"ITE002550"	"ABC002550"
"ITE002551"	"ABC002551"
"ITE002552"	"ABC002552"
"ITE002553"	"ABC002553"
"ITE002554"	"ABC002554"
"ITE002555"	"ABC002555"
"ITE002556"	"ABC002556"
"ITE002557"	"ABC002557"
"ITE002558"	"ABC002558"
"ITE002559"	"BC-H-002559"
"ITE002560"	"ABC002560"
"ITE002561"	"ABC002561"
"ITE002562"	"ABC002562"
"ITE002563"	"ABC002563"
"ITE002564"	"ABC002564"
"ITE002565"	"ABC002565"
"ITE002566"	"ABC002566"
"ITE002567"	"ABC002567"
"ITE002568"	"BC-H-002568"
"ITE002569"	"ABC002569"
"ITE002570"	"ABC002570"
"ITE002571"	"ABC002571"
"ITE002572"	"ABC002572"
"ITE002573"	"ABC002573"
"ITE002574"	"BC-H-002574"
"ITE002575"	"ABC002575"
"ITE002576"	"ABC002576"
"ITE002577"	"ABC002577"
"ITE002578"	"ABC002578"
"ITE002579"	"ABC002579"
"ITE002580"	"ABC002580"
"ITE002581"	"BC-H-002581"
"ITE002582"	"ABC002582"
"ITE002583"	"ABC002583"
"ITE002584"	"ABC002584"
"ITE002585"	"ABC002585"
"ITE002586"	"ABC002586"
"ITE002587"	"ABC002587"
"ITE002588"	"ABC002588"
"ITE002589"	"ABC002589"
"ITE002590"	"ABC002590"
"ITE002591"	"ABC002591"
"ITE002592"	"ABC002592"
"ITE002593"	"ABC002593"
"ITE002594"	"ABC002594"
"ITE002595"	"ABC002595"
"ITE002596"	"ABC002596"
"ITE002597"	"ABC002597"
"ITE002598"	"ABC002598"
"ITE002599"	"ABC002599"
"ITE002600"	"ABC002600"
"ITE002601"	"ABC002601"
"ITE002602"	"ABC002602"
"ITE002603"	"ABC002603"
"ITE002604"	"ABC002604"
"ITE002605"	"ABC002605"
"ITE002606"	"ABC002606"
"ITE002607"	"BC-H-002607"
"ITE002608"	"ABC002608"
"ITE002609"	"ABC002609"
"ITE002610"	"ABC002610"
"ITE002611"	"ABC002611"
"ITE002612"	"ABC002612"
"ITE002613"	"ABC002613"
"ITE002614"	"ABC002614"
"ITE002615"	"ABC002615"
"ITE002616"	"ABC002616"
"ITE002617"	"ABC002617"
"ITE002618"	"ABC002618"
"ITE002619"	"ABC002619"
"ITE002620"	"ABC002620"
"ITE002621"	"BC-H-002621"
"ITE002622"	"ABC002622"
"ITE002623"	"ABC002623"
"ITE002624"	"ABC002624"
"ITE002625"	"ABC002625"
"ITE002626"	"ABC002626"
"ITE002627"	"ABC002627"
"ITE002628"	"ABC002628"
"ITE002629"	"ABC002629"
"ITE002630"	"ABC002630"
"ITE002631"	"ABC002631"
"ITE002632"	"ABC002632"
"ITE002633"	"ABC002633"
"ITE002634"	"ABC002634"
"ITE002635"	"ABC002635"
"ITE002636"	"ABC002636"
"ITE002637"	"ABC002637"
"ITE002638"	"ABC002638"
"ITE002639"	"ABC002639"
"ITE002640"	"ABC002640"
"ITE002641"	"ABC002641"
"ITE002642"	"ABC002642"
"ITE002643"	"ABC002643"
"ITE002644"	"ABC002644"
"ITE002645"	"ABC002645"
"ITE002646"	"ABC002646"
"ITE002647"	"ABC002647"
"ITE002648"	"ABC002648"
"ITE002649"	"ABC002649"
"ITE002650"	"ABC002650"
"ITE002651"	"ABC002651"
"ITE002652"	"ABC002652"
"ITE002653"	"ABC002653"
"ITE002654"	"ABC002654"
"ITE002655"	"ABC002655"
"ITE002656"	"ABC002656"
"ITE002657"	"ABC002657"
"ITE002658"	"ABC002658"
"ITE002659"	"ABC002659"
"ITE002660"	"ABC002660"
"ITE002661"	"ABC002661"
"ITE002662"	"ABC002662"
"ITE002663"	"BC-H-002663"
"ITE002664"	"ABC002664"
"ITE002665"	"ABC002665"
"ITE002666"	"ABC002666"
"ITE002667"	"ABC002667"
"ITE002668"	"ABC002668"
"ITE002669"	"ABC002669"
"ITE002670"	"ABC002670"
"ITE002671"	"ABC002671"
"ITE002672"	"ABC002672"
"ITE002673"	"ABC002673"
"ITE002674"	"ABC002674"
"ITE002675"	"ABC002675"
"ITE002676"	"ABC002676"
"ITE002677"	"ABC002677"
"ITE002678"	"ABC002678"
"ITE002679"	"ABC002679"
"ITE002680"	"ABC002680"
"ITE002681"	"ABC002681"
"ITE002682"	"ABC002682"
"ITE002683"	"ABC002683"
"ITE002684"	"ABC002684"
"ITE002685"	"ABC002685"
"ITE002686"	"ABC002686"
"ITE002687"	"ABC002687"
"ITE002688"	"ABC002688"
"ITE002689"	"ABC002689"
"ITE002690"	"ABC002690"
"ITE002691"	"ABC002691"
"ITE002692"	"ABC002692"
"ITE002693"	"ABC002693"
"ITE002694"	"ABC002694"
"ITE002695"	"ABC002695"
"ITE002696"	"BC-H-002696"
"ITE002697"	"ABC002697"
"ITE002698"	"BC-H-002698"
"ITE002699"	"BC-H-002699"
"ITE002700"	"ABC002700"
"ITE002701"	"ABC002701"
"ITE002702"	"ABC002702"
"ITE002703"	"ABC002703"
"ITE002704"	"ABC002704"
"ITE002705"	"ABC002705"
"ITE002706"	"ABC002706"
"ITE002707"	"BC-H-002707"
"ITE002708"	"ABC002708"
"ITE002709"	"ABC002709"
"ITE002710"	"ABC002710"
"ITE002711"	"ABC002711"
"ITE002712"	"ABC002712"
"ITE002713"	"ABC002713"
"ITE002714"	"ABC002714"
"ITE002715"	"ABC002715"
"ITE002716"	"ABC002716"
"ITE002717"	"ABC002717"
"ITE002718"	"ABC002718"
"ITE002719"	"ABC002719"
"ITE002720"	"ABC002720"
"ITE002721"	"ABC002721"
"ITE002722"	"ABC002722"
"ITE002723"	"ABC002723"
"ITE002724"	"ABC002724"
"ITE002725"	"ABC002725"
"ITE002726"	"ABC002726"
"ITE002727"	"ABC002727"
"ITE002728"	"ABC002728"
"ITE002729"	"ABC002729"
"ITE002730"	"ABC002730"
